starttime	seconds	ctime	dtime	ttime	wait
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	10
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	9
Fri Jul 18 18:01:11 2025	1752850871	3	9	12	8
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	12
Fri Jul 18 18:01:11 2025	1752850871	1	11	12	9
Fri Jul 18 18:01:10 2025	1752850870	0	12	12	11
Fri Jul 18 18:01:10 2025	1752850870	1	11	12	9
Fri Jul 18 18:01:11 2025	1752850871	4	8	12	7
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	8
Fri Jul 18 18:01:13 2025	1752850873	0	12	12	11
Fri Jul 18 18:01:10 2025	1752850870	0	12	12	11
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	12
Fri Jul 18 18:01:11 2025	1752850871	0	12	12	11
Fri Jul 18 18:01:10 2025	1752850870	0	12	12	12
Fri Jul 18 18:01:10 2025	1752850870	0	12	12	12
Fri Jul 18 18:01:12 2025	1752850872	1	11	12	11
Fri Jul 18 18:01:11 2025	1752850871	1	11	12	11
